,userName,score,at,content
311,Fatimah Azzachra,1,2022-08-24 14:14:28,Kenapa saya susah banget mau nonton di netflix dlu ga gini. Harus masuk email dlu dll malah butuh bantuan sama keluar aneh
312,Mela Sari,3,2022-08-24 13:33:31,"Netflix gimana nih, masa saya mau perpanjang langganan lewat DANA ngga bisa siiiih 😭😭😭"
313,Arfina 69,1,2022-08-24 09:27:02,Sudah bayar dan saldo kepotong tapi tetap tidak bisa nonton saya merasa di tipu
314,sangadah ukhrowiyah,1,2022-08-24 09:20:22,kenapa punya saya bahasa tulisanya cina.. bagai mana cara ganti ke Indonesia
315,Indah Sri Rezeki,1,2022-08-24 08:26:46,"Apa cma aq yg udah bbrp hari ini netflix gk bisa kebuka, smp uninstal berulang x.. download berulang x tp ttp gk bisa"
316,wenny lestari,1,2022-08-24 07:47:42,"Karena satu dan lain hal saya harus relogin dan ribet sekali. Setelah memasukkan email dan pw, lalu muncul rincian paket dan setelah itu muncul halaman putih dengan tulisan selamat datang kembali dan stuck disitu. Trus mau nonton nya gimana???"
317,Yondri Sangir,4,2022-08-24 05:48:39,"Tolong tayangin film anime ONE PIECE, apalagi kalau sampai nayangin one piece RED, pasti bakalan panyak penonton netflik,. Karna film one piece banyak penggemarnya di indonesia.."
318,RiizzXD,2,2022-08-24 00:55:36,"Streaming mentok kualitas SD,pdhal hp support HD sama FHD,jaringan juga gada masalah"
319,Hann playlist,5,2022-08-23 16:31:06,"Lha kaget knapa netflix ratingnya cuma bintang 2,4 ? Padahal ini yg terbaik daripada aplikasi lainnya. Seriesnya juga bagus2, murah pula"
320,WAWAN ARDIYANSA,1,2022-08-23 11:18:00,Saking gak laku ya ini aplikasi setiap hp selalu ada .. Klau bukan bawaan hp ini aplikasi udah w unistal .. Gak ada guna ya buat w apk ya
321,dita putri,2,2022-08-23 11:08:00,"Netflixnya tbtb gabisa dibuka , udh di update uninstall ttp gbsa dibuka juga Kalo bisa dibuka dan lancar baru diubah ulasannya"
322,lucifer hades,1,2022-08-23 10:52:14,"Tolong netflix fitur game di hapus yg di apk hape, dan perbanyakin film atau series korea/thailand. Dan biaya berlangganan nya tolong di ganti jadi 200rb per tahun, contoh lah viu 200rb per tahun tapi series n film nya bagus2 untuk saat ini saya kasih rating ⭐ kalo netflix ga mau bikin perubahan."
323,Dian Kartika,4,2022-08-23 07:32:02,"Maaf, klu boleh tlong warna subtitleny yg cma warna putih diganti, karna klu bertabrakan sma background warna putih jdi tdk jelas dan tdk terbaca. Terimakasih"
324,Eka Saptanism,3,2022-08-22 21:34:18,"Mohon perbaiki atau tambah metode pembayaran yg lebih simpel dan mudah, karena gopay dll sering bermasalah saat transaksi"
325,Ajie Surabigaul,5,2022-08-22 14:35:14,"Suka sih bagus, terus keluarin karya terbaru dan aku suka film dokumenter nya sih keren"
326,Yogi Adi Pratama,1,2022-08-22 12:28:17,Aplikasi apa ini mau nonyon aja harus berlangganan percuma kaloa ada kuota tapi gk bisa nonton 😠
327,Lily kurniawan,3,2022-08-22 02:12:18,kenapa netflix saya tidak bisa continue watching? jadi kalau saya buka aplikasi netflixnya filmylnya selalu ngulang lagi dari awal. gimana cara agar bisa continue watching😭
328,M anas Anshori,1,2022-08-22 00:15:01,Ko saya tidak bisa masuk sih kenapa ya aneh email sudah di masukan tetap tidak bisa mohon perbaiki trimakasih
329,Aglee Dzul Akbar,5,2022-08-21 16:56:48,Tolong transpransi fontnya lebih tebal lagi dikarenakan untuk saat ini font terlalu tipis sehingga sulit dibaca pada saat gambarnya putih.
330,Mass Anam,3,2022-08-21 15:53:44,Stuck di 720p walaupun udah di setting di 4k. hp udah L1
331,Alia Aprilia,1,2022-08-21 14:16:54,"lemot, WIFI udah lancar tapi loading terus.mau nonton young woo ni elah, aarrgghhhh"
332,M Budiman,2,2022-08-21 09:00:49,"Halo ini saya kenapa tidak bisa login netflix nya ya,dan ada tulisan diluar jangkauan??"
333,Kurniawan Syahputra,2,2022-08-21 00:52:59,"Cemananya Netflix ni, gak bisa melanjutkan nonton film nya, padahal baru 2 hari saya download aplikasinya dan berlangganan"
334,ALman Maliki,1,2022-08-20 13:00:04,"Saya ingin nonton 3 idiots tapi tidak ada di penelusuran padahal waktu saya melihat di google ada yang bisa ditonton di Netflix, tidak spesial lagi seperti dulu, pengen pindah ke Disney saja.:("
335,Shadow of Light,5,2022-08-20 12:12:25,"Sekarang ada masalah, kenapa sekarang kalau saya keluar dari apk filmnya ga kesimpan, ketika saya masuk lagi di film yg sama, itu di mulai dari awal bukan dari terakhir kali di lihat"
336,Miranda Tirsya,2,2022-08-20 07:40:13,gambar nya kadang ga gerak sesuai audio nya.
337,Nabilaoktyara10,1,2022-08-20 03:19:43,Ini aplikasinya sangat bagus dan bisa nonton banyak Drakor
338,kikie 08,5,2022-08-19 16:23:54,"Bnyk film dan serial yg bgs, suka lost in space, sweet home, stranger things, dll. Saran Film korea dan thailand dibanyakin. Subtitel srkrg ada latar hitamnya kurang enak diliat."
339,Alvina Rachma,5,2022-08-19 08:10:41,Bagus terimakasih sudah menemani hari2 yang membosankan tapi saat ini Netflix saya sedang bermasalah sedikt bisa tolong di bantu tidak terima kasih
340,Hata dopo,2,2022-08-19 05:30:01,Mau tanya..netflix lg eror ya..aku langganan bulanan...ko baru seminggu sidah g bisa lg
341,Danendra Aurellio Dharmawani,5,2022-08-18 14:14:28,"Sangat bagus dari semua nya,tapi kurang di update flim terbaru cuman sangat bagus"
342,Dea yunita,5,2022-08-18 10:40:16,"Terimaksih, dengan ada nya Netflix membantu saya sebagai kaum yg suka nonton.."
343,Karlinda Himawati,3,2022-08-18 10:22:03,"Please deh ah, kalo teksnya itu letaknya disesuaikan dong, kadang fak kebaca, dah teksnya putih pas di scene-nya yg lagi warna putih, emosii lama²"
344,akumaru,1,2022-08-17 10:59:09,Subtitle menyatu dengan background jdi tidak begitu terlihat dan menjadi sulit untuk dibaca. Membuat penonton menjadi kurang menikmati.
345,Lina Diselmi,4,2022-08-17 06:02:10,"Uda dowload g bsa d buka, di update tetep g bisa di buka, nipu bgt si"
346,Fatur Ryan Maulana,3,2022-08-16 19:25:10,Dari semua kualitas si bagus tapi untuk subtitlenya kurang suka karna ada warna hitam di belakang subtilte mohon untuk subnya bisa diganti biar gak ada warna hitam nya. Subtitle yang berwarna hitam cuma di season terbaru untuk episode/season lama sudah ok. Mohon perbaikan nya supaya gak ada hitam hitam nya di belakang subtitle nya
347,Bram Carella,2,2022-08-16 16:00:25,"Untuk kualitas streaming video ok tidak pernah ada masalah, lancar lancar saja dan bisa 4k di smart tv, tapi untuk tv series amerika/western lama sekali rilis nya, kadang selisih 1 atau 2 hari setelah premiere, dan kadang juga subtitle indonesia nya tidak ada, baru ada subtitle indonesia setelah beberapa hari, dan untuk chat/dm via sosial media tidak pernah di respon, Jadi maaf ga bisa kasih bintang 5"
348,Arya 17,1,2022-08-16 12:41:05,Fitur buat HDnya g bisa padahal hp sy widevinenya sudah L1 tpi di netflixnya malah L3 tll dah
349,Bagas Eryan Bimantoro,5,2022-08-15 17:37:48,Netflix mantap dan kalau bisa text subtitle dikasi border warna hitam agar kalau film yang ditonton memiliki background putih subtitle film tersebut masih mudah di baca
350,Devi Irawan,2,2022-08-15 17:08:49,Aplikasi baru banget di download. Pas mau buka usah disuruh update versi terbaru. Hadeeeeehhhhh wasting time
351,Intan Rensi,4,2022-08-15 14:00:07,"Mau nanya kenapa netflix dihp saya gbisa login ya, eror terus tulisan nya di samsung A72 kartu telkomsel"
